Date,Actual,Predicted,MAE,MSE,RMSE,MAPE,R2
2024-12-28,95163.9296875,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2024-12-29,93530.2265625,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2024-12-30,92643.2109375,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2024-12-31,93429.203125,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-01-01,94419.7578125,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-01-02,96886.875,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-01-03,98107.4296875,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-01-04,98236.2265625,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-01-05,98314.9609375,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-01-06,102078.0859375,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-01-07,96922.703125,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-01-08,95043.5234375,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-01-09,92484.0390625,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-01-10,94701.453125,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-01-11,94566.59375,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-01-12,94488.4375,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-01-13,94516.5234375,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-01-14,96534.046875,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-01-15,100504.4921875,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-01-16,99756.90625,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-01-17,104462.0390625,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-01-18,104408.0703125,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-01-19,101089.609375,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-01-20,102016.6640625,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-01-21,106146.265625,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-01-22,103653.0703125,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-01-23,103960.171875,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-01-24,104819.484375,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-01-25,104714.6484375,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-01-26,102682.5,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-01-27,102087.6875,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-01-28,101332.4765625,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-01-29,103703.2109375,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-01-30,104735.3046875,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-01-31,102405.0234375,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-02-01,100655.90625,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-02-02,97688.9765625,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-02-03,101405.421875,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-02-04,97871.8203125,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-02-05,96615.4453125,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-02-06,96593.296875,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-02-07,96529.0859375,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-02-08,96482.453125,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-02-09,96500.09375,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-02-10,97437.5546875,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-02-11,95747.4296875,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-02-12,97885.859375,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-02-13,96623.8671875,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-02-14,97508.96875,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-02-15,97580.3515625,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-02-16,96175.03125,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-02-17,95773.3828125,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-02-18,95539.546875,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-02-19,96635.609375,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-02-20,98333.9375,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-02-21,96125.546875,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-02-22,96577.7578125,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-02-23,96273.921875,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-02-24,91418.171875,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-02-25,88736.171875,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-02-26,84347.0234375,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-02-27,84704.2265625,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-02-28,84373.0078125,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-03-01,86031.9140625,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-03-02,94248.3515625,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-03-03,86065.671875,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-03-04,87222.1953125,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-03-05,90623.5625,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-03-06,89961.7265625,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-03-07,86742.671875,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-03-08,86154.59375,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-03-09,80601.0390625,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-03-10,78532.0,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-03-11,82862.2109375,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-03-12,83722.359375,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-03-13,81066.703125,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-03-14,83969.1015625,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-03-15,84343.109375,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-03-16,82579.6875,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-03-17,84075.6875,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-03-18,82718.5,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-03-19,86854.2265625,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-03-20,84167.1953125,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-03-21,84043.2421875,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-03-22,83832.484375,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-03-23,86054.375,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-03-24,87498.9140625,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-03-25,87471.703125,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-03-26,86900.8828125,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-03-27,87177.1015625,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-03-28,84353.1484375,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-03-29,82597.5859375,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-03-30,82334.5234375,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-03-31,82548.9140625,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-04-01,85169.171875,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-04-02,82485.7109375,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-04-03,83102.828125,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-04-04,83843.8046875,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-04-05,83504.796875,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-04-06,78214.484375,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-04-07,79235.3359375,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-04-08,76271.953125,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-04-09,82573.953125,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-04-10,79626.140625,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-04-11,83404.8359375,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-04-12,85287.109375,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-04-13,83684.9765625,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-04-14,84542.390625,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-04-15,83668.9921875,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-04-16,84033.8671875,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-04-17,84895.75,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-04-18,84450.8046875,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-04-19,85063.4140625,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-04-20,85174.3046875,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-04-21,87518.90625,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-04-22,93441.890625,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-04-23,93699.109375,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-04-24,93943.796875,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-04-25,94720.5,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-04-26,94646.9296875,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-04-27,93754.84375,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-04-28,94978.75,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-04-29,94284.7890625,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-04-30,94207.3125,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-05-01,96492.3359375,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-05-02,96910.0703125,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-05-03,95891.796875,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-05-04,94315.9765625,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-05-05,94748.0546875,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-05-06,96802.4765625,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-05-07,97032.3203125,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-05-08,103241.4609375,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-05-09,102970.8515625,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-05-10,104696.328125,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-05-11,104106.359375,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-05-12,102812.953125,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-05-13,104169.8125,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-05-14,103539.4140625,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-05-15,103744.640625,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-05-16,103489.2890625,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-05-17,103191.0859375,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-05-18,106446.0078125,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-05-19,105606.1796875,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-05-20,106791.0859375,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-05-21,109678.078125,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-05-22,111673.28125,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-05-23,107287.796875,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-05-24,107791.15625,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-05-25,109035.390625,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-05-26,109440.3671875,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-05-27,108994.640625,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-05-28,107802.328125,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-05-29,105641.7578125,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-05-30,103998.5703125,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-05-31,104638.09375,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-06-01,105652.1015625,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-06-02,105881.53125,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-06-03,105432.46875,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-06-04,104731.984375,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-06-05,101575.953125,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-06-06,104390.34375,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-06-07,105615.625,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-06-08,105793.6484375,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-06-09,110294.1015625,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-06-10,110257.234375,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-06-11,108686.625,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-06-12,105929.0546875,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-06-13,106090.96875,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-06-14,105472.40625,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-06-15,105552.0234375,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-06-16,106796.7578125,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-06-17,104601.1171875,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-06-18,104883.328125,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-06-19,104684.2890625,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-06-20,103309.6015625,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-06-21,102257.40625,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-06-22,100987.140625,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-06-23,105577.7734375,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-06-24,106045.6328125,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-06-25,107361.2578125,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-06-26,106960.0,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-06-27,107088.4296875,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-06-28,107327.703125,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-06-29,108385.5703125,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-06-30,107135.3359375,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-07-01,105698.28125,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-07-02,108859.3203125,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-07-03,109647.9765625,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-07-04,108034.3359375,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-07-05,108231.1796875,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-07-06,109232.0703125,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-07-07,108299.8515625,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-07-08,108950.2734375,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-07-09,111326.5546875,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-07-10,115987.203125,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-07-11,117516.9921875,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-07-12,117435.2265625,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-07-13,119116.1171875,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-07-14,119849.703125,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-07-15,117777.1875,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-07-16,118738.5078125,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-07-17,119289.84375,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-07-18,118003.2265625,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-07-19,117939.9765625,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-07-20,117300.7890625,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-07-21,117439.5390625,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-07-22,119995.4140625,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-07-23,118754.9609375,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-07-24,118368.0,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-07-25,117635.8828125,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-07-26,117947.3671875,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-07-27,119448.4921875,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-07-28,117924.4765625,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-07-29,117922.1484375,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-07-30,117831.1875,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-07-31,115758.203125,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-08-01,113320.0859375,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-08-02,112526.9140625,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-08-03,114217.671875,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-08-04,115071.8828125,65992.8359375,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-08-05,114141.4453125,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-08-06,115028.0,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-08-07,117496.8984375,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-08-08,116688.7265625,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
2025-08-09,116500.359375,66971.828125,18128.446199194786,665055799.9525483,25788.67580843476,17.93451507873512,-0.02177010127238499
